movie_id,title,genres,genre_ids,release_year,release_date,runtime,rating,vote_count,popularity,overview,poster_path,backdrop_path,original_language,original_title,adult,video
TMDB1426776,STRAW,Thriller|Drama|Crime,"53, 18, 80",2025,2025-06-05,0,7.718,927,13.0832,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,/fnbWrDx8w8Reau4F1tFqoGuGmDZ.jpg,en,STRAW,False,False
TMDB710295,Wolf Man,Horror|Thriller,"27, 53",2025,2025-01-15,0,6.203,924,8.857,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",/wpSDzTBfF0Eeo5lzu2w9FTujGqd.jpg,/wwARk7hRIfHfh2n2ubN6N7lvTne.jpg,en,Wolf Man,False,False
TMDB744653,The Thursday Murder Club,Comedy|Mystery|Crime,"35, 9648, 80",2025,2025-08-22,0,6.596,920,5.8062,A group of senior sleuths passionate about solving cold cases get plunged into a real-life murder mystery in this comic crime caper.,/jbnazCHr8S2l2glyvjPTpa4NbEw.jpg,/4KN06gns94rQFoYQWDGunK7Cob4.jpg,en,The Thursday Murder Club,False,False
TMDB842924,The Life of Chuck,Fantasy|Drama,"14, 18",2025,2025-06-05,0,7.279,917,12.2062,"In this extraordinary story of an ordinary man, Charles 'Chuck' Krantz experiences the wonder of love, the heartbreak of loss, and the multitudes contained in all of us.",/oumprkO9bThExP8NwxBIBnvBu2v.jpg,/1SgD8XMa6dDSBKbPU4TDe2cmfGK.jpg,en,The Life of Chuck,False,False
TMDB1045938,G20,Action|Mystery|Drama,"28, 9648, 18",2025,2025-04-10,0,6.411,642,8.4428,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",/wv6oWAleCJZUk5htrGg413t3GCy.jpg,/k32XKMjmXMGeydykD32jfER3BVI.jpg,en,G20,False,False
TMDB982843,The Great Flood,Science Fiction|Adventure|Drama,"878, 12, 18",2025,2025-09-18,0,5.996,616,20.294,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,/8vLt9TYFZdAwYtqImvggTM5yFnF.jpg,ko,대홍수,False,False
TMDB1267905,The Roses,Comedy|Drama,"35, 18",2025,2025-08-27,0,6.701,609,9.9466,"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",/99O8HLHklXGzvF2TqiRqr7WddzT.jpg,/tK3zER0850mxditEoepTOmIeYKq.jpg,en,The Roses,False,False
TMDB980477,Ne Zha 2,Animation|Fantasy|Adventure|Action,"16, 14, 12, 28",2025,2025-01-29,0,8.107,611,25.8801,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg,/8btfz81bOJ2lC7cujYBTw03wzg3.jpg,zh,哪吒之魔童闹海,False,False
TMDB1242419,Roofman,Crime|Comedy|Drama,"80, 35, 18",2025,2025-10-08,0,7.139,606,14.8871,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname ""Roofman."" After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",/wXDFtcnYtevleGzCmAD2ReQnJ4l.jpg,/2YOnE2qmoyyOUqQsFit12gDSauk.jpg,en,Roofman,False,False
TMDB1098006,Fountain of Youth,Adventure|Fantasy|Mystery,"12, 14, 9648",2025,2025-05-19,0,6.265,863,7.6173,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",/4iWjGghUj2uyHo2Hyw8NFBvsNGm.jpg,/arGs8D4RfUfsk7vMiMjDi6Mtabv.jpg,en,Fountain of Youth,False,False
